# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-08-17 16:24:43 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01105933 PASKAMANSET RIVER NEAR SOUTH DARTMOUTH, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01105933
#            TS   parameter     statistic     Description
#         64270       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	64270_00060_00003	64270_00060_00003_cd
USGS	01105933	1995-11-25	49.0	A
USGS	01105933	1995-11-26	46.0	A
USGS	01105933	1995-11-27	42.0	A
USGS	01105933	1995-11-28	38.0	A
USGS	01105933	1995-11-29	36.0	A
USGS	01105933	1995-11-30	39.0	A
USGS	01105933	1995-12-01	40.0	A
USGS	01105933	1995-12-02	49.0	A
USGS	01105933	1995-12-03	45.0	A
USGS	01105933	1995-12-04	43.0	A
USGS	01105933	1995-12-05	39.0	A
USGS	01105933	1995-12-06	43.0	A
USGS	01105933	1995-12-07	50.0	A
USGS	01105933	1995-12-08	44.0	A
USGS	01105933	1995-12-09	38.0	A
USGS	01105933	1995-12-10	56.0	A
USGS	01105933	1995-12-11	61.0	A
USGS	01105933	1995-12-12	54.0	A
USGS	01105933	1995-12-13	43.0	A
USGS	01105933	1995-12-14	33.0	A
USGS	01105933	1995-12-15	33.0	A
USGS	01105933	1995-12-16	32.0	A
USGS	01105933	1995-12-17	30.0	A
USGS	01105933	1995-12-18	29.0	A
USGS	01105933	1995-12-19	28.0	A
USGS	01105933	1995-12-20	28.0	A
USGS	01105933	1995-12-21	30.0	A
USGS	01105933	1995-12-22	27.0	A
USGS	01105933	1995-12-23	25.0	A
USGS	01105933	1995-12-24	24.0	A
USGS	01105933	1995-12-25	23.0	A
USGS	01105933	1995-12-26	22.0	A
USGS	01105933	1995-12-27	21.0	A
USGS	01105933	1995-12-28	21.0	A
USGS	01105933	1995-12-29	20.0	A
USGS	01105933	1995-12-30	19.0	A
USGS	01105933	1995-12-31	19.0	A
USGS	01105933	1996-01-01	19.0	A
USGS	01105933	1996-01-02	19.0	A
USGS	01105933	1996-01-03	22.0	A
USGS	01105933	1996-01-04	25.0	A:e
USGS	01105933	1996-01-05	22.0	A:e
USGS	01105933	1996-01-06	20.0	A
USGS	01105933	1996-01-07	18.0	A
USGS	01105933	1996-01-08	18.0	A
USGS	01105933	1996-01-09	20.0	A
USGS	01105933	1996-01-10	21.0	A
USGS	01105933	1996-01-11	19.0	A
USGS	01105933	1996-01-12	21.0	A
USGS	01105933	1996-01-13	51.0	A
USGS	01105933	1996-01-14	68.0	A
USGS	01105933	1996-01-15	73.0	A
USGS	01105933	1996-01-16	70.0	A
USGS	01105933	1996-01-17	74.0	A
USGS	01105933	1996-01-18	87.0	A
USGS	01105933	1996-01-19	121	A
USGS	01105933	1996-01-20	251	A
USGS	01105933	1996-01-21	248	A
USGS	01105933	1996-01-22	214	A
USGS	01105933	1996-01-23	182	A
USGS	01105933	1996-01-24	154	A
USGS	01105933	1996-01-25	145	A
USGS	01105933	1996-01-26	130	A
USGS	01105933	1996-01-27	115	A
USGS	01105933	1996-01-28	146	A
USGS	01105933	1996-01-29	157	A
USGS	01105933	1996-01-30	142	A
USGS	01105933	1996-01-31	125	A
USGS	01105933	1996-02-01	105	A
USGS	01105933	1996-02-02	89.0	A
USGS	01105933	1996-02-03	79.0	A
USGS	01105933	1996-02-04	69.0	A
USGS	01105933	1996-02-05	65.0	A
USGS	01105933	1996-02-06	56.0	A
USGS	01105933	1996-02-07	49.0	A
USGS	01105933	1996-02-08	46.0	A
USGS	01105933	1996-02-09	56.0	A
USGS	01105933	1996-02-10	69.0	A
USGS	01105933	1996-02-11	72.0	A
USGS	01105933	1996-02-12	80.0	A
USGS	01105933	1996-02-13	80.0	A
USGS	01105933	1996-02-14	65.0	A
USGS	01105933	1996-02-15	57.0	A
USGS	01105933	1996-02-16	48.0	A
USGS	01105933	1996-02-17	44.0	A
USGS	01105933	1996-02-18	40.0	A
USGS	01105933	1996-02-19	38.0	A
USGS	01105933	1996-02-20	37.0	A
USGS	01105933	1996-02-21	55.0	A
USGS	01105933	1996-02-22	122	A
USGS	01105933	1996-02-23	154	A
USGS	01105933	1996-02-24	150	A
USGS	01105933	1996-02-25	183	A
USGS	01105933	1996-02-26	165	A
USGS	01105933	1996-02-27	135	A
USGS	01105933	1996-02-28	109	A
USGS	01105933	1996-02-29	90.0	A
USGS	01105933	1996-03-01	77.0	A
USGS	01105933	1996-03-02	68.0	A
USGS	01105933	1996-03-03	64.0	A
USGS	01105933	1996-03-04	63.0	A
USGS	01105933	1996-03-05	57.0	A
USGS	01105933	1996-03-06	72.0	A
USGS	01105933	1996-03-07	144	A
USGS	01105933	1996-03-08	200	A
USGS	01105933	1996-03-09	187	A
USGS	01105933	1996-03-10	147	A
USGS	01105933	1996-03-11	116	A
USGS	01105933	1996-03-12	97.0	A
USGS	01105933	1996-03-13	87.0	A
USGS	01105933	1996-03-14	83.0	A
USGS	01105933	1996-03-15	80.0	A
USGS	01105933	1996-03-16	84.0	A
USGS	01105933	1996-03-17	83.0	A
USGS	01105933	1996-03-18	77.0	A
USGS	01105933	1996-03-19	71.0	A
USGS	01105933	1996-03-20	71.0	A
USGS	01105933	1996-03-21	77.0	A
USGS	01105933	1996-03-22	73.0	A
USGS	01105933	1996-03-23	67.0	A
USGS	01105933	1996-03-24	60.0	A
USGS	01105933	1996-03-25	54.0	A
USGS	01105933	1996-03-26	49.0	A
USGS	01105933	1996-03-27	42.0	A
USGS	01105933	1996-03-28	37.0	A
USGS	01105933	1996-03-29	34.0	A
USGS	01105933	1996-03-30	32.0	A
USGS	01105933	1996-03-31	29.0	A
USGS	01105933	1996-04-01	27.0	A
USGS	01105933	1996-04-02	50.0	A
USGS	01105933	1996-04-03	63.0	A
USGS	01105933	1996-04-04	56.0	A
USGS	01105933	1996-04-05	44.0	A
USGS	01105933	1996-04-06	37.0	A
USGS	01105933	1996-04-07	35.0	A
USGS	01105933	1996-04-08	56.0	A
USGS	01105933	1996-04-09	71.0	A
USGS	01105933	1996-04-10	86.0	A
USGS	01105933	1996-04-11	126	A
USGS	01105933	1996-04-12	162	A
USGS	01105933	1996-04-13	160	A
USGS	01105933	1996-04-14	134	A
USGS	01105933	1996-04-15	111	A
USGS	01105933	1996-04-16	103	A
USGS	01105933	1996-04-17	172	A
USGS	01105933	1996-04-18	178	A
USGS	01105933	1996-04-19	145	A
USGS	01105933	1996-04-20	116	A
USGS	01105933	1996-04-21	96.0	A
USGS	01105933	1996-04-22	82.0	A
USGS	01105933	1996-04-23	70.0	A
USGS	01105933	1996-04-24	63.0	A
USGS	01105933	1996-04-25	56.0	A
USGS	01105933	1996-04-26	48.0	A
USGS	01105933	1996-04-27	44.0	A
USGS	01105933	1996-04-28	38.0	A
USGS	01105933	1996-04-29	37.0	A
USGS	01105933	1996-04-30	73.0	A
USGS	01105933	1996-05-01	83.0	A
USGS	01105933	1996-05-02	76.0	A
USGS	01105933	1996-05-03	65.0	A
USGS	01105933	1996-05-04	65.0	A
USGS	01105933	1996-05-05	62.0	A
USGS	01105933	1996-05-06	58.0	A
USGS	01105933	1996-05-07	57.0	A
USGS	01105933	1996-05-08	54.0	A
USGS	01105933	1996-05-09	52.0	A
USGS	01105933	1996-05-10	48.0	A
USGS	01105933	1996-05-11	52.0	A
USGS	01105933	1996-05-12	52.0	A
USGS	01105933	1996-05-13	47.0	A
USGS	01105933	1996-05-14	40.0	A
USGS	01105933	1996-05-15	36.0	A
USGS	01105933	1996-05-16	33.0	A
USGS	01105933	1996-05-17	58.0	A
USGS	01105933	1996-05-18	70.0	A
USGS	01105933	1996-05-19	65.0	A
USGS	01105933	1996-05-20	55.0	A
USGS	01105933	1996-05-21	45.0	A
USGS	01105933	1996-05-22	39.0	A
USGS	01105933	1996-05-23	34.0	A
USGS	01105933	1996-05-24	31.0	A
USGS	01105933	1996-05-25	28.0	A
USGS	01105933	1996-05-26	25.0	A
USGS	01105933	1996-05-27	22.0	A
USGS	01105933	1996-05-28	21.0	A
USGS	01105933	1996-05-29	19.0	A
USGS	01105933	1996-05-30	31.0	A
USGS	01105933	1996-05-31	64.0	A
USGS	01105933	1996-06-01	50.0	A
USGS	01105933	1996-06-02	32.0	A
USGS	01105933	1996-06-03	25.0	A
USGS	01105933	1996-06-04	35.0	A
USGS	01105933	1996-06-05	35.0	A
USGS	01105933	1996-06-06	28.0	A
USGS	01105933	1996-06-07	23.0	A
USGS	01105933	1996-06-08	20.0	A
USGS	01105933	1996-06-09	18.0	A
USGS	01105933	1996-06-10	18.0	A
USGS	01105933	1996-06-11	24.0	A
USGS	01105933	1996-06-12	20.0	A
USGS	01105933	1996-06-13	16.0	A
USGS	01105933	1996-06-14	14.0	A
USGS	01105933	1996-06-15	12.0	A
USGS	01105933	1996-06-16	9.70	A
USGS	01105933	1996-06-17	8.10	A
USGS	01105933	1996-06-18	9.10	A
USGS	01105933	1996-06-19	7.90	A
USGS	01105933	1996-06-20	10.0	A
USGS	01105933	1996-06-21	13.0	A
USGS	01105933	1996-06-22	11.0	A
USGS	01105933	1996-06-23	9.90	A
USGS	01105933	1996-06-24	7.30	A
USGS	01105933	1996-06-25	8.60	A
USGS	01105933	1996-06-26	7.10	A
USGS	01105933	1996-06-27	5.20	A
USGS	01105933	1996-06-28	4.20	A
USGS	01105933	1996-06-29	3.50	A
USGS	01105933	1996-06-30	2.90	A
USGS	01105933	1996-07-01	3.70	A
USGS	01105933	1996-07-02	4.10	A
USGS	01105933	1996-07-03	13.0	A
USGS	01105933	1996-07-04	36.0	A
USGS	01105933	1996-07-05	21.0	A
USGS	01105933	1996-07-06	12.0	A
USGS	01105933	1996-07-07	7.40	A
USGS	01105933	1996-07-08	4.30	A
USGS	01105933	1996-07-09	4.00	A
USGS	01105933	1996-07-10	4.50	A
USGS	01105933	1996-07-11	3.10	A
USGS	01105933	1996-07-12	2.40	A
USGS	01105933	1996-07-13	5.10	A
USGS	01105933	1996-07-14	20.0	A
USGS	01105933	1996-07-15	12.0	A
USGS	01105933	1996-07-16	7.80	A
USGS	01105933	1996-07-17	5.20	A
USGS	01105933	1996-07-18	3.60	A
USGS	01105933	1996-07-19	5.20	A
USGS	01105933	1996-07-20	6.70	A
USGS	01105933	1996-07-21	3.30	A
USGS	01105933	1996-07-22	2.00	A
USGS	01105933	1996-07-23	1.80	A
USGS	01105933	1996-07-24	2.50	A
USGS	01105933	1996-07-25	2.60	A
USGS	01105933	1996-07-26	2.80	A
USGS	01105933	1996-07-27	4.20	A
USGS	01105933	1996-07-28	3.90	A
USGS	01105933	1996-07-29	4.40	A
USGS	01105933	1996-07-30	2.90	A
USGS	01105933	1996-07-31	2.00	A
USGS	01105933	1996-08-01	24.0	A
USGS	01105933	1996-08-02	41.0	A
USGS	01105933	1996-08-03	28.0	A
USGS	01105933	1996-08-04	17.0	A
USGS	01105933	1996-08-05	10.0	A
USGS	01105933	1996-08-06	7.70	A
USGS	01105933	1996-08-07	6.00	A
USGS	01105933	1996-08-08	5.00	A
USGS	01105933	1996-08-09	4.00	A
USGS	01105933	1996-08-10	3.50	A
USGS	01105933	1996-08-11	3.00	A
USGS	01105933	1996-08-12	2.30	A
USGS	01105933	1996-08-13	8.90	A
USGS	01105933	1996-08-14	24.0	A
USGS	01105933	1996-08-15	15.0	A
USGS	01105933	1996-08-16	8.70	A
USGS	01105933	1996-08-17	6.00	A
USGS	01105933	1996-08-18	4.70	A
USGS	01105933	1996-08-19	3.50	A
USGS	01105933	1996-08-20	2.70	A
USGS	01105933	1996-08-21	2.40	A
USGS	01105933	1996-08-22	2.70	A
USGS	01105933	1996-08-23	2.30	A
USGS	01105933	1996-08-24	2.70	A
USGS	01105933	1996-08-25	4.70	A
USGS	01105933	1996-08-26	3.30	A
USGS	01105933	1996-08-27	2.40	A
USGS	01105933	1996-08-28	15.0	A
USGS	01105933	1996-08-29	20.0	A
USGS	01105933	1996-08-30	14.0	A
USGS	01105933	1996-08-31	7.40	A
USGS	01105933	1996-09-01	4.80	A
USGS	01105933	1996-09-02	39.0	A
USGS	01105933	1996-09-03	73.0	A
USGS	01105933	1996-09-04	69.0	A
USGS	01105933	1996-09-05	52.0	A
USGS	01105933	1996-09-06	28.0	A
USGS	01105933	1996-09-07	23.0	A
USGS	01105933	1996-09-08	55.0	A
USGS	01105933	1996-09-09	80.0	A
USGS	01105933	1996-09-10	70.0	A
USGS	01105933	1996-09-11	56.0	A
USGS	01105933	1996-09-12	37.0	A
USGS	01105933	1996-09-13	38.0	A
USGS	01105933	1996-09-14	39.0	A
USGS	01105933	1996-09-15	35.0	A
USGS	01105933	1996-09-16	31.0	A
USGS	01105933	1996-09-17	38.0	A
USGS	01105933	1996-09-18	125	A
USGS	01105933	1996-09-19	229	A
USGS	01105933	1996-09-20	248	A
USGS	01105933	1996-09-21	232	A
USGS	01105933	1996-09-22	194	A
USGS	01105933	1996-09-23	155	A
USGS	01105933	1996-09-24	120	A
USGS	01105933	1996-09-25	92.0	A
USGS	01105933	1996-09-26	73.0	A
USGS	01105933	1996-09-27	58.0	A
USGS	01105933	1996-09-28	45.0	A
USGS	01105933	1996-09-29	40.0	A
USGS	01105933	1996-09-30	39.0	A
USGS	01105933	1996-10-01	36.0	A
USGS	01105933	1996-10-02	33.0	A
USGS	01105933	1996-10-03	31.0	A
USGS	01105933	1996-10-04	28.0	A
USGS	01105933	1996-10-05	26.0	A
USGS	01105933	1996-10-06	24.0	A
USGS	01105933	1996-10-07	23.0	A
USGS	01105933	1996-10-08	26.0	A
USGS	01105933	1996-10-09	94.0	A
USGS	01105933	1996-10-10	148	A
USGS	01105933	1996-10-11	134	A
USGS	01105933	1996-10-12	108	A
USGS	01105933	1996-10-13	86.0	A
USGS	01105933	1996-10-14	73.0	A
USGS	01105933	1996-10-15	61.0	A
USGS	01105933	1996-10-16	50.0	A
USGS	01105933	1996-10-17	40.0	A
USGS	01105933	1996-10-18	35.0	A
USGS	01105933	1996-10-19	32.0	A
USGS	01105933	1996-10-20	63.0	A
USGS	01105933	1996-10-21	213	A
USGS	01105933	1996-10-22	268	A
USGS	01105933	1996-10-23	264	A
USGS	01105933	1996-10-24	276	A
USGS	01105933	1996-10-25	273	A
USGS	01105933	1996-10-26	227	A
USGS	01105933	1996-10-27	177	A
USGS	01105933	1996-10-28	136	A
USGS	01105933	1996-10-29	110	A
USGS	01105933	1996-10-30	92.0	A
USGS	01105933	1996-10-31	80.0	A
USGS	01105933	1996-11-01	70.0	A
USGS	01105933	1996-11-02	62.0	A
USGS	01105933	1996-11-03	55.0	A
USGS	01105933	1996-11-04	48.0	A
USGS	01105933	1996-11-05	43.0	A
USGS	01105933	1996-11-06	40.0	A
USGS	01105933	1996-11-07	39.0	A
USGS	01105933	1996-11-08	40.0	A
USGS	01105933	1996-11-09	44.0	A
USGS	01105933	1996-11-10	57.0	A
USGS	01105933	1996-11-11	57.0	A
USGS	01105933	1996-11-12	51.0	A
USGS	01105933	1996-11-13	44.0	A
USGS	01105933	1996-11-14	39.0	A
USGS	01105933	1996-11-15	36.0	A
USGS	01105933	1996-11-16	34.0	A
USGS	01105933	1996-11-17	33.0	A
USGS	01105933	1996-11-18	32.0	A
USGS	01105933	1996-11-19	32.0	A
USGS	01105933	1996-11-20	33.0	A
USGS	01105933	1996-11-21	32.0	A
USGS	01105933	1996-11-22	30.0	A
USGS	01105933	1996-11-23	29.0	A
USGS	01105933	1996-11-24	29.0	A
USGS	01105933	1996-11-25	28.0	A
USGS	01105933	1996-11-26	37.0	A
USGS	01105933	1996-11-27	61.0	A
USGS	01105933	1996-11-28	60.0	A
USGS	01105933	1996-11-29	52.0	A
USGS	01105933	1996-11-30	43.0	A
USGS	01105933	1996-12-01	41.0	A
USGS	01105933	1996-12-02	54.0	A
USGS	01105933	1996-12-03	78.0	A
USGS	01105933	1996-12-04	81.0	A
USGS	01105933	1996-12-05	75.0	A
USGS	01105933	1996-12-06	76.0	A
USGS	01105933	1996-12-07	120	A
USGS	01105933	1996-12-08	368	A
USGS	01105933	1996-12-09	501	A
USGS	01105933	1996-12-10	443	A
USGS	01105933	1996-12-11	362	A
USGS	01105933	1996-12-12	279	A
USGS	01105933	1996-12-13	202	A
USGS	01105933	1996-12-14	146	A
USGS	01105933	1996-12-15	110	A
USGS	01105933	1996-12-16	88.0	A
USGS	01105933	1996-12-17	82.0	A
USGS	01105933	1996-12-18	97.0	A
USGS	01105933	1996-12-19	114	A
USGS	01105933	1996-12-20	177	A
USGS	01105933	1996-12-21	180	A
USGS	01105933	1996-12-22	155	A
USGS	01105933	1996-12-23	129	A
USGS	01105933	1996-12-24	106	A
USGS	01105933	1996-12-25	104	A
USGS	01105933	1996-12-26	103	A
USGS	01105933	1996-12-27	91.0	A
USGS	01105933	1996-12-28	82.0	A
USGS	01105933	1996-12-29	73.0	A
USGS	01105933	1996-12-30	68.0	A
USGS	01105933	1996-12-31	63.0	A
USGS	01105933	1997-01-01	55.0	A
USGS	01105933	1997-01-02	49.0	A
USGS	01105933	1997-01-03	51.0	A
USGS	01105933	1997-01-04	57.0	A
USGS	01105933	1997-01-05	57.0	A
USGS	01105933	1997-01-06	55.0	A
USGS	01105933	1997-01-07	51.0	A
USGS	01105933	1997-01-08	45.0	A
USGS	01105933	1997-01-09	40.0	A
USGS	01105933	1997-01-10	44.0	A
USGS	01105933	1997-01-11	46.0	A
USGS	01105933	1997-01-12	43.0	A
USGS	01105933	1997-01-13	39.0	A
USGS	01105933	1997-01-14	35.0	A
USGS	01105933	1997-01-15	34.0	A
USGS	01105933	1997-01-16	41.0	A
USGS	01105933	1997-01-17	64.0	A
USGS	01105933	1997-01-18	63.0	A
USGS	01105933	1997-01-19	46.0	A
USGS	01105933	1997-01-20	33.0	A
USGS	01105933	1997-01-21	31.0	A
USGS	01105933	1997-01-22	31.0	A
USGS	01105933	1997-01-23	58.0	A
USGS	01105933	1997-01-24	60.0	A
USGS	01105933	1997-01-25	65.0	A
USGS	01105933	1997-01-26	88.0	A
USGS	01105933	1997-01-27	88.0	A
USGS	01105933	1997-01-28	88.0	A
USGS	01105933	1997-01-29	120	A
USGS	01105933	1997-01-30	125	A
USGS	01105933	1997-01-31	97.0	A
USGS	01105933	1997-02-01	74.0	A
USGS	01105933	1997-02-02	65.0	A
USGS	01105933	1997-02-03	60.0	A
USGS	01105933	1997-02-04	55.0	A
USGS	01105933	1997-02-05	62.0	A
USGS	01105933	1997-02-06	93.0	A
USGS	01105933	1997-02-07	94.0	A
USGS	01105933	1997-02-08	83.0	A
USGS	01105933	1997-02-09	71.0	A
USGS	01105933	1997-02-10	61.0	A
USGS	01105933	1997-02-11	54.0	A
USGS	01105933	1997-02-12	48.0	A
USGS	01105933	1997-02-13	44.0	A
USGS	01105933	1997-02-14	44.0	A
USGS	01105933	1997-02-15	67.0	A
USGS	01105933	1997-02-16	76.0	A
USGS	01105933	1997-02-17	72.0	A
USGS	01105933	1997-02-18	65.0	A
USGS	01105933	1997-02-19	60.0	A
USGS	01105933	1997-02-20	57.0	A
USGS	01105933	1997-02-21	53.0	A
USGS	01105933	1997-02-22	51.0	A
USGS	01105933	1997-02-23	49.0	A
USGS	01105933	1997-02-24	44.0	A
USGS	01105933	1997-02-25	39.0	A
USGS	01105933	1997-02-26	36.0	A
USGS	01105933	1997-02-27	39.0	A
USGS	01105933	1997-02-28	39.0	A
USGS	01105933	1997-03-01	36.0	A
USGS	01105933	1997-03-02	36.0	A
USGS	01105933	1997-03-03	34.0	A
USGS	01105933	1997-03-04	34.0	A
USGS	01105933	1997-03-05	35.0	A
USGS	01105933	1997-03-06	43.0	A
USGS	01105933	1997-03-07	45.0	A
USGS	01105933	1997-03-08	39.0	A
USGS	01105933	1997-03-09	35.0	A
USGS	01105933	1997-03-10	37.0	A
USGS	01105933	1997-03-11	48.0	A
USGS	01105933	1997-03-12	47.0	A
USGS	01105933	1997-03-13	41.0	A
USGS	01105933	1997-03-14	36.0	A
USGS	01105933	1997-03-15	69.0	A
USGS	01105933	1997-03-16	92.0	A
USGS	01105933	1997-03-17	83.0	A
USGS	01105933	1997-03-18	70.0	A
USGS	01105933	1997-03-19	59.0	A
USGS	01105933	1997-03-20	53.0	A
USGS	01105933	1997-03-21	46.0	A
USGS	01105933	1997-03-22	48.0	A
USGS	01105933	1997-03-23	51.0	A
USGS	01105933	1997-03-24	46.0	A
USGS	01105933	1997-03-25	40.0	A
USGS	01105933	1997-03-26	48.0	A
USGS	01105933	1997-03-27	64.0	A
USGS	01105933	1997-03-28	62.0	A
USGS	01105933	1997-03-29	62.0	A
USGS	01105933	1997-03-30	186	A
USGS	01105933	1997-03-31	241	A
USGS	01105933	1997-04-01	441	A
USGS	01105933	1997-04-02	456	A
USGS	01105933	1997-04-03	406	A
USGS	01105933	1997-04-04	352	A
USGS	01105933	1997-04-05	291	A
USGS	01105933	1997-04-06	226	A
USGS	01105933	1997-04-07	172	A
USGS	01105933	1997-04-08	133	A
USGS	01105933	1997-04-09	105	A
USGS	01105933	1997-04-10	83.0	A
USGS	01105933	1997-04-11	68.0	A
USGS	01105933	1997-04-12	60.0	A
USGS	01105933	1997-04-13	76.0	A
USGS	01105933	1997-04-14	104	A
USGS	01105933	1997-04-15	94.0	A
USGS	01105933	1997-04-16	78.0	A
USGS	01105933	1997-04-17	67.0	A
USGS	01105933	1997-04-18	69.0	A
USGS	01105933	1997-04-19	94.0	A
USGS	01105933	1997-04-20	130	A
USGS	01105933	1997-04-21	123	A
USGS	01105933	1997-04-22	101	A
USGS	01105933	1997-04-23	82.0	A
USGS	01105933	1997-04-24	68.0	A
USGS	01105933	1997-04-25	59.0	A
USGS	01105933	1997-04-26	53.0	A
USGS	01105933	1997-04-27	48.0	A
USGS	01105933	1997-04-28	49.0	A
USGS	01105933	1997-04-29	70.0	A
USGS	01105933	1997-04-30	71.0	A
USGS	01105933	1997-05-01	63.0	A
USGS	01105933	1997-05-02	57.0	A
USGS	01105933	1997-05-03	54.0	A
USGS	01105933	1997-05-04	51.0	A
USGS	01105933	1997-05-05	46.0	A
USGS	01105933	1997-05-06	42.0	A
USGS	01105933	1997-05-07	41.0	A
USGS	01105933	1997-05-08	38.0	A
USGS	01105933	1997-05-09	36.0	A
USGS	01105933	1997-05-10	38.0	A
USGS	01105933	1997-05-11	39.0	A
USGS	01105933	1997-05-12	35.0	A
USGS	01105933	1997-05-13	33.0	A
USGS	01105933	1997-05-14	38.0	A
USGS	01105933	1997-05-15	35.0	A
USGS	01105933	1997-05-16	43.0	A
USGS	01105933	1997-05-17	51.0	A
USGS	01105933	1997-05-18	42.0	A
USGS	01105933	1997-05-19	44.0	A
USGS	01105933	1997-05-20	54.0	A
USGS	01105933	1997-05-21	50.0	A
USGS	01105933	1997-05-22	41.0	A
USGS	01105933	1997-05-23	36.0	A
USGS	01105933	1997-05-24	33.0	A
USGS	01105933	1997-05-25	35.0	A
USGS	01105933	1997-05-26	55.0	A
USGS	01105933	1997-05-27	51.0	A
USGS	01105933	1997-05-28	39.0	A
USGS	01105933	1997-05-29	33.0	A
USGS	01105933	1997-05-30	30.0	A
USGS	01105933	1997-05-31	28.0	A
USGS	01105933	1997-06-01	44.0	A
USGS	01105933	1997-06-02	46.0	A
USGS	01105933	1997-06-03	39.0	A
USGS	01105933	1997-06-04	32.0	A
USGS	01105933	1997-06-05	28.0	A
USGS	01105933	1997-06-06	25.0	A
USGS	01105933	1997-06-07	23.0	A
USGS	01105933	1997-06-08	21.0	A
USGS	01105933	1997-06-09	19.0	A
USGS	01105933	1997-06-10	18.0	A
USGS	01105933	1997-06-11	16.0	A
USGS	01105933	1997-06-12	14.0	A
USGS	01105933	1997-06-13	14.0	A
